id;titre_exercice;contenu_exercice
1;Philippine Peso Metal;Strategist
2;card Licensed Cotton Ball;mindshare Gorgeous
3;Chips;navigating
4;Som Rustic Frozen Keyboard ROI;Benin
5;Tuna Response invoice;alarm Jamaica
6;system Gorgeous Rubber Pants;hack
7;leading-edge;Ergonomic Steel Gloves
8;Developer Shoes Music;Buckinghamshire Hollow Shoes
9;withdrawal Generic Frozen Tuna;Gorgeous Cotton Chair Personal Loan Account Borders
10;Norfolk Island Chilean Peso Unidades de fomento Checking Account;invoice Outdoors New York
